200,200,677,200,677,244,200,244
200,300,678,300,678,344,200,344
200,400,677,400,677,444,200,444
200,500,678,500,678,522,200,522
200,550,677,550,677,572,200,572
200,200,677,200,677,244,200,244,取堆播二預俊家這輸室
200,300,678,300,678,344,200,344,堆播二預俊家這輸室含
200,400,677,400,677,444,200,444,播二預俊家這輸室含備
200,500,678,500,678,522,200,522,二預俊家這輸室含備獨放假水載佳處利強官交
200,550,677,550,677,572,200,572,預俊家這輸室含備獨放假水載佳處利強官交由
200,200,677,200,677,244,200,244,取堆播二預俊家這輸室
200,300,678,300,678,344,200,344,堆播二預俊家這輸室含
200,400,677,400,677,444,200,444,播二預俊家這輸室含備
200,500,678,500,678,522,200,522,二預俊家這輸室含備獨放假水載佳處利強官交
200,550,677,550,677,572,200,572,預俊家這輸室含備獨放假水載佳處利強官交由
